epoch,loss,val_loss
1,0.0034023513798676613,0.00010578829422556393
2,0.00020994659096729647,0.0001087187276987876
3,0.0001470051317014946,9.677706678616095e-05
4,0.0006401629419226103,7.353083507408687e-05
5,9.313711205759115e-05,6.89304960839594e-05
6,7.736803338880166e-05,7.218264946467992e-05
7,6.976678746234011e-05,5.682462106280915e-05
8,6.011355309389552e-05,4.041335994179606e-05
9,4.122675545024913e-05,4.5569724287549096e-05
10,3.0964232122276665e-05,8.732161548650421e-05
11,2.1615455982526892e-05,1.5089495097558666e-05
12,1.7661512855696834e-05,1.4796564749932124e-05
13,1.5242425776313247e-05,1.6117995677666707e-05
14,1.378589705208402e-05,1.0250760882546885e-05
15,1.1415128517598444e-05,1.592178968560053e-05
16,1.1133629859829942e-05,9.872931706337537e-06
17,8.836375086965805e-06,1.455110680090518e-05
18,9.135571986483239e-06,8.712453931888496e-06
19,7.919126646037724e-06,8.052713043237387e-06
20,7.020885013755443e-06,6.59928081381407e-06
21,7.89689137094191e-06,8.199527679272174e-06
22,6.148109421490954e-06,6.649095752298836e-06
23,5.835915221133714e-06,8.056498365924302e-06
24,6.791011672672385e-06,8.446994739751856e-06
25,5.074130541317643e-06,9.579904693339179e-06
26,5.4541103436172074e-06,1.0999457866404417e-05
27,3.1233332412544055e-06,9.519072871594562e-06
28,2.9607201002165698e-06,7.314413793362467e-06
29,3.1107914348957234e-06,5.517794584379814e-06
30,2.973364890677205e-06,9.63530546460309e-06
31,2.9297259493971747e-06,5.923136139571962e-06
32,2.9055139605042207e-06,6.97703760486071e-06
33,2.7693191128045388e-06,7.900578303599236e-06
34,2.7169693073222305e-06,6.009536751914859e-06
35,2.736516667706532e-06,6.9072696171609694e-06
36,2.447627815444786e-06,6.43329580685382e-06
37,2.20305399691582e-06,6.276141547307641e-06
38,2.202661596409806e-06,6.669657318023337e-06
39,2.1700404751584857e-06,6.660026315689103e-06
40,2.1506554559315926e-06,5.888014400005534e-06
41,2.135601414481638e-06,6.101965680196022e-06
