epoch,loss,val_loss
1,0.0006235162243891619,0.00011448746113345682
2,0.00022830035678900757,0.0001100900928307483
3,0.0002975919708671929,0.00010920384170635154
4,0.00016989638777891358,0.00010523931835476461
5,0.00015052345413325784,0.00011435930203732356
6,0.00012134186886119457,0.00010845352878136897
7,0.00010854115605465042,9.071114978919023e-05
8,9.79582783381693e-05,9.837899031980575e-05
9,9.083928355720314e-05,6.833601286967385e-05
10,8.408871890753855e-05,6.908771651247283e-05
11,8.112305923472786e-05,6.415015138576542e-05
12,7.788193322225935e-05,6.429187211089198e-05
13,7.367566077330009e-05,6.489637087306102e-05
14,7.111125557294221e-05,7.934497152717498e-05
15,6.772234857985438e-05,7.949756902424453e-05
16,6.488566879542934e-05,7.059779526878209e-05
17,6.413335404368141e-05,9.910327523647185e-05
18,4.85586737838023e-05,6.798097003600743e-05
19,4.5652962614530244e-05,8.756675830135512e-05
20,4.4010891003610994e-05,7.729662237929787e-05
21,4.196725732710124e-05,7.72638595490867e-05
22,4.184993196386093e-05,8.793324079452653e-05
23,3.966171503555896e-05,7.862973308748405e-05
