epoch,loss,val_loss
1,0.0010157604866819923,0.00010064587046540811
2,0.00014296708380685913,8.075472639463416e-05
3,0.0004073970114323619,6.154923581900438e-05
4,7.664458572997184e-05,6.44104399556345e-05
5,6.614037489091017e-05,4.8461867379680514e-05
6,4.710152369139751e-05,2.398918121875953e-05
7,3.208277963822031e-05,1.7415702853555008e-05
8,2.4731803802156614e-05,1.9476300315055204e-05
9,1.8335667571000222e-05,1.2254069005959036e-05
10,1.5368182387569436e-05,1.1680641544398465e-05
11,1.2807656011505078e-05,1.3379217635882686e-05
12,1.9204677173395464e-05,8.782509943219121e-06
13,1.1625364285650922e-05,6.6258256062728235e-06
14,8.513308613162855e-06,8.579851830049862e-06
15,2.2581202656345968e-05,1.818464974555472e-05
16,1.1044624315341284e-05,8.793962750947593e-06
17,7.443917823301372e-06,7.677075249324132e-06
18,6.660943588146363e-06,9.46648751792757e-06
19,6.222449956924364e-06,6.224936724470856e-06
20,5.373812705728897e-06,5.061036507830968e-06
21,5.89742433734972e-06,6.077548458723114e-06
22,5.176078526483823e-06,7.6179531413380965e-06
23,4.6710656711418794e-06,5.658416104825367e-06
24,4.803467235569072e-06,6.654388485706359e-06
25,4.026914236598397e-06,7.0442589801393356e-06
26,3.7433171252980815e-06,7.632729363566356e-06
27,2.5307861238359937e-06,4.442175961089948e-06
28,2.350144500764084e-06,5.063963001413311e-06
29,2.2202319774105605e-06,6.770851807048627e-06
30,2.2450036962346e-06,5.647183245981798e-06
31,2.1538235207391385e-06,4.8672411899291096e-06
32,2.1217691884677394e-06,5.1036764472756835e-06
33,2.051516387594904e-06,4.613723724194453e-06
34,1.7335167446098755e-06,4.922517294968254e-06
35,1.72213270502811e-06,4.84987343140579e-06
36,1.7400049569290611e-06,5.410840322251615e-06
37,1.698837401806893e-06,4.828107104385307e-06
38,1.6814312756127027e-06,4.3906417993191904e-06
39,1.6556653089457663e-06,4.736527284446141e-06
40,1.6256411164671986e-06,4.210497099589783e-06
41,1.625359281088361e-06,4.723481905948402e-06
42,1.609502083989492e-06,5.572712837503316e-06
43,1.6245870704575735e-06,4.72443348773268e-06
44,1.5793396154945318e-06,4.922632696791647e-06
45,1.5840412001533963e-06,4.6114909261778745e-06
46,1.5778711457613028e-06,4.832392611501674e-06
47,1.4818836623974624e-06,4.647681447540632e-06
48,1.4963752872918147e-06,5.076890827182895e-06
49,1.4774390962479712e-06,4.6117808794366135e-06
50,1.4620127657631462e-06,4.718690773214249e-06
51,1.4632422462607214e-06,4.7032809477004835e-06
52,1.4516189467830065e-06,4.322383158961268e-06
