epoch,loss,val_loss
1,0.003053107030725112,0.00013475978071700374
2,0.00023294702673620237,0.00012138647212127623
3,0.0002064329846600568,0.0001060528786573761
4,0.00046507069613351687,0.00010043686246608673
5,0.0001632089978413568,0.00010623832418523106
6,0.00015593690997110733,0.00011090850161805519
7,0.00015570805542518623,0.00011805592433978034
8,0.00013188556339459415,0.0001470001067100269
9,0.000116346982100758,8.373007306312939e-05
10,0.00010731007446839528,0.00012722441260848427
11,0.00010050495967870991,7.725549434676267e-05
12,9.262147470871137e-05,7.739439485936164e-05
13,8.674769002075663e-05,7.520969010205912e-05
14,8.120715502428568e-05,8.205823521140345e-05
15,7.542005578330211e-05,7.436145285515085e-05
16,7.010125207130712e-05,6.237835162981883e-05
17,6.696666262172714e-05,6.981350904571521e-05
18,6.128132819913125e-05,6.670806946008715e-05
19,6.215191597842388e-05,6.334810671487445e-05
20,5.487759502849693e-05,6.231824970877351e-05
21,5.42072974510489e-05,6.097148902293441e-05
22,5.155332802339522e-05,5.874159257562307e-05
23,4.8675689864299696e-05,5.850670656144978e-05
24,4.658496047437436e-05,6.11091474311596e-05
25,4.6001930770605015e-05,5.633859142288873e-05
26,4.546262041372627e-05,5.985770268378112e-05
27,4.081996249755006e-05,5.9016273171838874e-05
28,4.020971640076602e-05,5.762242991777355e-05
29,3.765281285097185e-05,7.213227276115618e-05
30,3.759652336892874e-05,6.386927318494413e-05
31,3.7361337404181895e-05,6.148168905191273e-05
32,2.8090976639294373e-05,6.14926866761919e-05
33,2.653337121694396e-05,5.85619724129762e-05
34,2.649918421806207e-05,6.46382271032925e-05
35,2.519996507349075e-05,6.138785889426558e-05
36,2.408972467158668e-05,6.153712482401868e-05
37,2.4352237108650466e-05,6.441593037144526e-05
