epoch,loss,val_loss
1,0.0009621613535121138,0.00010120937057353236
2,0.0001347364084816225,7.942102297635386e-05
3,0.0006330801316458541,6.23838105561687e-05
4,8.734454973436005e-05,8.59211661714676e-05
5,7.570430288966285e-05,8.519753079468638e-05
6,6.368334289216255e-05,5.141539849224409e-05
7,4.386628865750394e-05,2.8251643658790822e-05
8,2.9878883693550147e-05,3.3731131136126534e-05
9,2.0850208896020933e-05,1.7924158088674685e-05
10,1.7945759467353327e-05,5.533497467305077e-05
11,1.363785032332835e-05,1.8459239171382075e-05
12,1.2128108073168173e-05,1.3759146808102277e-05
13,1.1324979569562831e-05,1.651342474550076e-05
14,8.495192178266059e-06,1.428629384205204e-05
15,7.734767355076487e-06,1.3852766487300866e-05
16,7.466866830389645e-06,1.4864157995932838e-05
17,6.727547850020923e-06,1.2849526560197148e-05
18,6.611559373909122e-06,1.1428188843764293e-05
19,6.1968495882176904e-06,1.235968917940614e-05
20,4.2024147727959446e-05,3.504811699744733e-05
21,2.9535707610721324e-05,1.8934716653654994e-05
22,1.5691867529604478e-05,1.4943380282909438e-05
23,9.130822741511362e-06,1.498175121238143e-05
24,6.756780714879911e-06,1.6267645300138478e-05
25,4.40777636228696e-06,1.8005720796729396e-05
26,4.017279765780478e-06,1.918680577445766e-05
27,3.876634477635679e-06,2.4231351267691982e-05
28,3.7124252054251594e-06,2.5608202641686074e-05
29,3.4677719320056725e-06,2.7507026825246942e-05
30,3.3528345749034633e-06,2.910328797900745e-05
