epoch,loss,val_loss
1,0.0027535458881743423,0.00013203856507529232
2,0.00022130707675463492,0.00011158003003789298
3,0.00023794966278218753,0.00010616512597155774
4,0.00021654836864894544,0.00011198000913270682
5,0.00018996682342953202,0.00010998613459676631
6,0.00014431965130646266,0.00015848899148246685
7,0.00013699560687825931,0.00013529268830390507
8,0.00011760994526904272,0.00010853581027068952
9,0.00010480060737033786,8.875368747613958e-05
10,9.532765273724532e-05,0.00010062560912402812
11,9.052448246216128e-05,7.784715589390292e-05
12,8.320776270598568e-05,8.438686089492782e-05
13,7.585844186487292e-05,9.038023056370322e-05
14,7.218412530688521e-05,8.5881582450177e-05
15,7.053960413244849e-05,8.058602054425654e-05
16,6.549111689921343e-05,7.712290458550474e-05
17,6.170864144020786e-05,7.489534776740861e-05
18,5.7706953936163595e-05,7.537357517577e-05
19,5.755357227448603e-05,9.369923980396692e-05
20,5.4966869003941027e-05,8.344020578176474e-05
21,5.596432261777986e-05,7.251383761512635e-05
22,5.5233808753392894e-05,7.535298183582956e-05
23,5.010653619786073e-05,8.349638514899237e-05
24,4.553659119960653e-05,7.963311886224839e-05
25,4.600249527126075e-05,7.219109690885136e-05
26,4.2991834030199825e-05,8.566271096360049e-05
27,4.090541935290568e-05,7.418770864943076e-05
28,3.8932395725867974e-05,7.983537964171297e-05
29,3.794814437136883e-05,8.397138804430601e-05
30,3.590686406630999e-05,8.898220080726004e-05
31,3.480128974388842e-05,7.75915323404084e-05
32,2.6418558741899645e-05,7.74371319924454e-05
33,2.4785556581703138e-05,7.629957184982929e-05
34,2.427301309278902e-05,7.703427474713549e-05
35,2.366995168068853e-05,7.875784854078243e-05
36,2.305597078894243e-05,8.006238660860554e-05
37,2.2487719677051314e-05,8.164136453054453e-05
