T_bin,ret_bin,gain%,n
0-3m,<-1%,-102.86,11458
0-3m,-1% to 0%,-89.35,31654
0-3m,0% to 1%,31.67,45786
0-3m,>1%,-40.33,9396
0-3m,All,-33.98,98294
3-6m,<-1%,-135.09,13157
3-6m,-1% to 0%,-136.05,32713
3-6m,0% to 1%,28.93,48304
3-6m,>1%,-5.62,10810
3-6m,All,-42.56,104984
6m-1yr,<-1%,-171.96,13155
6m-1yr,-1% to 0%,-29.1,36831
6m-1yr,0% to 1%,37.44,54682
6m-1yr,>1%,26.56,10586
6m-1yr,All,-10.56,115254
>1yr,<-1%,-15.87,12371
>1yr,-1% to 0%,3.86,34680
>1yr,0% to 1%,24.89,50743
>1yr,>1%,18.28,9729
>1yr,All,13.49,107523
All,<-1%,-98.94,50141
All,-1% to 0%,-76.85,135878
All,0% to 1%,30.19,199515
All,>1%,-13.27,40521
All,All,-22.1,426055
