Model,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic,Gain_Incremental
Analytic,14.071867942810059,3.3028289640562974e-05,0.00574702441621427,0.0031908254604786634,0.0005977347609587014,0.0019046985544264317,0.18337550732483698,,,
3F,17.18167495727539,4.0327363737722575e-05,0.006350382959926321,0.00318351574242115,-0.00012505051563493907,0.0017915964126586914,0.002905893352728839,430.3s,-22.10%,
3F+iv_lag,13.492387771606445,3.1668183149139066e-05,0.0056274490801018415,0.0032590695191174746,0.0008016654173843563,0.0020371228456497192,0.2170041416147328,550.5s,4.12%,21.47%
4F,20.703493118286133,4.8593475298461776e-05,0.00697090204338447,0.003460295032709837,-0.0009185309754684567,0.0019609928131103516,-0.20147372282317844,586.5s,-47.13%,-53.45%
4F+iv_lag,13.513162612915039,3.1716944086831605e-05,0.005631779832950824,0.0037342561408877373,0.00025695585645735264,0.0026987940073013306,0.21579852738405736,507.5s,3.97%,34.73%
6F_gamma,24.19991111755371,5.679996976341954e-05,0.007536575466577611,0.0031861141324043274,0.0005134276580065489,0.0018177926540374756,-0.4043793062493697,561.5s,-71.97%,-79.08%
6F_gamma+iv_lag,27.004592895507812,6.338287989932712e-05,0.007961336564882,0.006076447200030088,-0.005757616832852364,0.004693672060966492,-0.5671417656005673,1050.0s,-91.90%,-11.59%
6F_theta,22.629384994506836,5.3113764641905e-05,0.007287919088594837,0.0038374322466552258,-0.0007771948585286736,0.0022782981395721436,-0.3132378811252414,367.9s,-60.81%,16.20%
6F_theta+iv_lag,12.788183212280273,3.001533419929416e-05,0.005478625210697859,0.0033616351429373026,0.0008347837720066309,0.0021206438541412354,0.2578708334666202,737.8s,9.12%,43.49%
8F_theta,20.904813766479492,4.906599797321823e-05,0.00700471255464621,0.002876387443393469,-0.0005302451318129897,0.00147353857755661,-0.2131568464045035,1022.7s,-48.56%,-63.47%
8F_theta+iv_lag,9.108397483825684,2.13784546216467e-05,0.004623684096220966,0.002607152098789811,0.00011984664160991088,0.0013902634382247925,0.47141768921208815,909.6s,35.27%,56.43%
8F_rho,13.122671127319336,3.0800415738154314e-05,0.00554981222548604,0.0024645819794386625,0.00011277469457127154,0.0014452189207077026,0.2384596916740117,1013.4s,6.75%,-44.07%
8F_rho+iv_lag,12.468952178955078,2.926606231344563e-05,0.005409811670792767,0.0038087370339781046,-0.0033046607859432697,0.002761468291282654,0.27639658155456714,1587.9s,11.39%,4.98%
Total,,,,,,,,9325.7s,,
