model,mean,std,skew,kurtosis,pct_within_1std,q05,q25,q50,q75,q95
Analytic,0.0005977347609587014,0.005715855862945318,2.257718324661255,50.032257080078125,86.58717771179776,-0.005763615015894175,-0.001437570434063673,0.0003077542642131448,0.0024147843942046165,0.0075702965259552
3F,-0.00012505051563493907,0.00634915241971612,-1.5340880155563354,109.38640594482422,88.91903627465938,-0.006954172160476446,-0.0018616095185279846,-0.00015079230070114136,0.0017106682062149048,0.006563869770616293
3F+iv_lag,0.0008016654173843563,0.0055700549855828285,-0.66932213306427,60.69338607788086,85.44835760641232,-0.006584721617400646,-0.0009449049830436707,0.000952109694480896,0.0026857033371925354,0.007415297906845808
4F,-0.0009185309754684567,0.006910121068358421,-6.609004020690918,242.59487915039062,88.48528945793383,-0.008720256388187408,-0.0025651007890701294,-0.0007067769765853882,0.00118357315659523,0.006282855290919542
4F+iv_lag,0.00025695585645735264,0.00562591478228569,-1.4262720346450806,18.92807960510254,82.17976552323056,-0.0088119488209486,-0.0018775910139083862,0.0009974539279937744,0.0030964910984039307,0.006855932530015707
6F_gamma,0.0005134276580065489,0.007519065868109465,-19.179964065551758,984.1171875,91.78603701400054,-0.006929147057235241,-0.0005656108260154724,0.000961601734161377,0.002477869391441345,0.0064502134919166565
6F,-0.005757616832852364,0.005498429760336876,-2.095288038253784,14.778454780578613,57.849338700402534,-0.015252765268087387,-0.0078849196434021,-0.004597887396812439,-0.002620730549097061,0.00036866916343569756
6F_theta,-0.0007771948585286736,0.007246359251439571,-2.7752602100372314,58.47888946533203,88.43952071915598,-0.00994232576340437,-0.0025939270853996277,-0.00010561943054199219,0.002026185393333435,0.0061386567540466785
6F_theta+iv_lag,0.0008347837720066309,0.005414653103798628,-0.05314023047685623,18.720787048339844,83.44861578904133,-0.006433764006942511,-0.0011696070432662964,0.0008223503828048706,0.0028218626976013184,0.008058058097958565
8F_theta,-0.0005302451318129897,0.006984614301472902,-7.313503265380859,262.3930358886719,92.73004659022897,-0.006715978495776653,-0.0017382390797138214,-0.000319749116897583,0.0011533424258232117,0.004735363181680441
8F theta,0.00011984664160991088,0.0046221306547522545,0.2907957136631012,18.51077651977539,85.3683209914213,-0.006414507515728474,-0.0011868178844451904,0.00016893446445465088,0.001573316752910614,0.005692898761481047
8F_rho,0.00011277469457127154,0.0055486662313342094,-9.231800079345703,449.5749206542969,91.71327645491779,-0.005067514721304178,-0.001163184642791748,0.0002977028489112854,0.0016740038990974426,0.004934970289468765
8F rho,-0.0033046607859432697,0.004283139016479254,-2.1240649223327637,14.24647045135498,69.33236319254557,-0.011011956259608269,-0.004757791757583618,-0.0025606155395507812,-0.0010358020663261414,0.0017515122890472412
