epoch,loss,val_loss
1,0.002503268326449386,0.00018055708517294988
2,0.00027709308339213517,0.00013423719309457738
3,0.0001743532973589336,8.951029186240096e-05
4,0.0011720366611583852,7.059782318682058e-05
5,9.180691038714128e-05,7.130311356225623e-05
6,7.998240246880859e-05,6.0406387679753e-05
7,7.358576753795979e-05,6.104134048238545e-05
8,6.772655830532808e-05,5.747601824168669e-05
9,6.0418787572726094e-05,5.909589616711249e-05
10,5.3223942318544824e-05,6.896954556623314e-05
11,4.3868185101483173e-05,7.144569714985967e-05
12,4.219915733320956e-05,9.816629411337392e-05
13,4.9401236808873675e-05,3.80448035362709e-05
14,4.757841161335818e-05,5.1980204091250926e-05
15,2.9778725381239635e-05,7.10423839412518e-05
16,3.966434108386896e-05,2.9397406545209986e-05
17,2.527449469198473e-05,2.3925632651374446e-05
18,3.27023320386751e-05,2.1704200506178495e-05
19,2.576196584026973e-05,3.3535292099410675e-05
20,2.5183539993180446e-05,2.3616736148331558e-05
21,1.691565279581985e-05,2.1293465844488917e-05
22,2.112798317303965e-05,1.953689764396434e-05
23,2.169465202082102e-05,2.646049855078066e-05
24,1.0436978693100986e-05,1.5611440090879114e-05
25,1.7219861168067584e-05,1.4236572070558395e-05
26,1.2770342301395275e-05,1.911001211851726e-05
27,1.3105067438950658e-05,1.5091819124772124e-05
28,1.186640486961783e-05,1.9802091183388864e-05
29,1.617621542112481e-05,1.4207019255252362e-05
30,9.422401795900635e-06,2.087278251868459e-05
31,8.710284084295284e-06,2.5022008173891663e-05
32,1.0353539040652128e-05,4.135940478514991e-05
33,8.66411137781626e-06,2.3359700766908038e-05
34,1.2799719911043289e-05,1.4483697924561056e-05
35,8.99331619988748e-06,1.0461936021499696e-05
36,7.3531153248040935e-06,2.1179543513956862e-05
37,6.793811118110712e-06,1.6677818858094422e-05
38,8.891993358237743e-06,2.060795940413603e-05
39,7.823966511073485e-06,1.2558606755419532e-05
40,8.075157956362941e-06,4.6211055424312995e-05
41,9.724727102907987e-06,1.5143702737437556e-05
42,3.879497881690499e-06,1.2648862238506808e-05
43,3.2085331227751744e-06,1.4641280510356106e-05
44,3.16189083063596e-06,1.2575372662600634e-05
45,3.0957306206162567e-06,1.4032790607150977e-05
46,2.9210973934823413e-06,1.2957644024425008e-05
47,2.898302843877513e-06,1.2309556055356552e-05
