epoch,loss,val_loss
1,0.0023729774331862226,0.00018299220653261727
2,0.000271816729156776,0.00013845121647667233
3,0.0001791296205099454,0.00026442005628268817
4,0.001167827927039322,6.90774785330935e-05
5,0.00010012308574663079,7.668346042540482e-05
6,8.410049030839643e-05,6.575520708906879e-05
7,7.448082194079031e-05,6.726441010111255e-05
8,6.692243823249071e-05,6.258491179285859e-05
9,5.863901186533807e-05,6.61927362462696e-05
10,4.98635713735526e-05,5.651323280631004e-05
11,4.320009432744205e-05,8.852530686453974e-05
12,3.792850580561827e-05,6.0134187473674196e-05
13,4.4064004009185816e-05,6.315046747810508e-05
14,3.2989643257175714e-05,5.244378147987542e-05
15,3.456082546069817e-05,3.0381269387665572e-05
16,3.527990807305422e-05,3.149118856053216e-05
17,3.006319095336639e-05,2.6199049779999466e-05
18,2.316021304493993e-05,2.537643673387417e-05
19,2.468873947478603e-05,2.5987711164058663e-05
20,2.1144871560805924e-05,2.5293238223866865e-05
21,1.8480041635097648e-05,1.947655957224015e-05
22,2.0601044620212013e-05,3.462809648150748e-05
23,1.2806328769774484e-05,3.1821920951339656e-05
24,1.9360941703470937e-05,2.7166308882442536e-05
25,1.2330374661263355e-05,1.9272891137234183e-05
26,1.1460873690552074e-05,3.794396051641039e-05
27,1.5243737027745698e-05,1.6870780138826074e-05
28,1.0896715932486064e-05,1.835030695929163e-05
29,1.0951188706964418e-05,1.8405754848534645e-05
30,8.207995970804676e-06,2.6148927550669516e-05
31,1.222848591459432e-05,2.0282386917832202e-05
32,1.0923613317185726e-05,2.1912721289633435e-05
33,1.121204506605554e-05,2.0897496445589543e-05
34,5.078322531884855e-06,1.7545066413049426e-05
35,4.0365139303754945e-06,1.5573207529466043e-05
36,3.8890005445400096e-06,1.8801623345628588e-05
37,3.699216740835951e-06,1.7353855649086352e-05
38,3.7218382648790525e-06,1.820521115784383e-05
39,3.788345607740376e-06,2.1198122264346846e-05
40,3.510518670620823e-06,1.9680076510060946e-05
41,3.9184891048012586e-06,2.35348386941799e-05
42,3.0109218370969448e-06,1.68715237360099e-05
43,2.8931521025329627e-06,1.9898889514517275e-05
44,2.8656790067195306e-06,1.6415629213876553e-05
45,2.848361856059513e-06,1.7946130422312006e-05
46,2.867392397015368e-06,1.835976327887086e-05
47,2.826183752288071e-06,1.8822497589591574e-05
