T_bin,ret_bin,gain%,n
0-3m,<-1%,68.76,1565
0-3m,-1% to 0%,82.97,6148
0-3m,0% to 1%,56.5,8879
0-3m,>1%,75.95,1964
0-3m,All,72.75,18556
3-6m,<-1%,98.37,1808
3-6m,-1% to 0%,95.18,8563
3-6m,0% to 1%,72.86,10946
3-6m,>1%,97.55,2407
3-6m,All,95.45,23724
6m-1yr,<-1%,95.31,2243
6m-1yr,-1% to 0%,92.23,14982
6m-1yr,0% to 1%,61.47,22078
6m-1yr,>1%,93.28,3902
6m-1yr,All,89.25,43205
>1yr,<-1%,96.72,3174
>1yr,-1% to 0%,84.96,21935
>1yr,0% to 1%,62.78,29902
>1yr,>1%,95.57,4800
>1yr,All,89.32,59811
All,<-1%,95.65,8790
All,-1% to 0%,89.06,51628
All,0% to 1%,62.33,71805
All,>1%,94.52,13073
All,All,89.05,145296
