epoch,loss,val_loss
1,0.004230699949813359,6.567140393790874e-05
2,0.00021550947094784307,4.5975387901738656e-05
3,0.0001529619024047423,0.0001166195673010263
4,0.00029579554413252946,5.578120670083751e-05
5,8.382176405630299e-05,3.776705782097691e-05
6,9.993857470123515e-05,4.2669413295171626e-05
7,8.284968189537154e-05,0.0001558890755404718
8,6.533560055576981e-05,7.548606821441546e-05
9,4.873399248915524e-05,3.996187015696992e-05
10,3.6977527577249915e-05,4.7497730912781616e-05
11,2.96442970404615e-05,5.299460641541181e-05
12,2.4327048248936018e-05,2.538213184619197e-05
13,1.9007846148290407e-05,2.8540830656933585e-05
14,1.5917095486355876e-05,2.5499879316875624e-05
15,1.4597931327354905e-05,4.045779393747676e-05
16,1.2864003168006025e-05,2.435732270130661e-05
17,1.2136733690376308e-05,3.4356625684794334e-05
18,9.841809987607886e-06,2.8012753811804273e-05
19,8.88871353455947e-06,1.8016138519191084e-05
20,9.056686307426698e-06,2.0320602118916116e-05
21,8.588564388186829e-06,2.4314502642434827e-05
22,6.591539314077342e-06,1.824562671955439e-05
23,6.633973133543086e-06,1.2684921004716e-05
24,7.114580379787465e-06,1.3324831527490078e-05
25,5.404106578386465e-06,2.004685428035277e-05
26,5.564838302336995e-06,1.86630246449376e-05
27,5.370270040951535e-06,1.493222410999806e-05
28,6.086753674744135e-06,1.1190585418094805e-05
29,4.126639617808044e-06,2.5467579601019294e-05
30,4.0051564547367095e-06,1.9619047964170023e-05
31,4.2818225449280405e-06,2.1940814734702335e-05
32,3.682486591176548e-06,1.0637369237094006e-05
33,4.4697925444868585e-06,2.2359952357706596e-05
34,3.5235787968782747e-06,2.5302974733533216e-05
35,3.6558764802230554e-06,2.3185782885392608e-05
36,3.8406318382765035e-06,1.4696822130956303e-05
37,3.194541548302874e-06,1.637060856027299e-05
38,3.037125963628637e-06,3.0152488983204468e-05
39,1.9897538028719034e-06,2.341528208226488e-05
40,1.990768454265719e-06,2.2355672302565885e-05
41,1.9542150683168745e-06,3.065124575115126e-05
42,2.0481412024621116e-06,3.713417745649693e-05
43,1.980010062594456e-06,3.5001297673213565e-05
44,2.0679761830774794e-06,2.2675495222900186e-05
