epoch,loss,val_loss
1,0.0013304382654380042,5.4092047397908145e-05
2,0.00014379421642152557,3.703812917113905e-05
3,0.00041401915641609206,3.478961502160497e-05
4,6.0800327918329454e-05,4.656226461807628e-05
5,4.943088146647735e-05,3.624723220989261e-05
6,4.383363180832226e-05,4.489072122707607e-05
7,4.0909309299785034e-05,3.243503267041983e-05
8,3.502345484399908e-05,2.7863029682569168e-05
9,2.6629314585366764e-05,2.6933298125330017e-05
10,2.171430697617188e-05,2.7431788430476446e-05
11,1.7803026962678986e-05,3.0066878896736612e-05
12,1.4265442284607374e-05,3.945878201863563e-05
13,1.1822770055456422e-05,2.524638176797261e-05
14,1.0328857616288478e-05,4.331545009766782e-05
15,9.333172380494013e-06,3.207617190511021e-05
16,8.04283619468459e-06,3.448782430687539e-05
17,7.01616903213169e-06,3.1821495750400095e-05
18,6.332648110103885e-06,3.2002729996125515e-05
19,5.876575893840449e-06,4.850441437635087e-05
20,2.9670122528882632e-06,2.952337480277684e-05
21,2.637432035762207e-06,3.105204091058879e-05
22,2.52502932848334e-06,2.9166517504707274e-05
23,2.450876350897153e-06,2.6809107302333838e-05
24,2.7134550607502035e-06,2.920396074937583e-05
25,2.5979821299372824e-06,3.1370675901598585e-05
