T_bin,ret_bin,gain%,n
0-3m,<-1%,15.61,3338
0-3m,-1% to 0%,3.36,16011
0-3m,0% to 1%,1.57,22324
0-3m,>1%,38.59,2425
0-3m,All,8.65,44098
3-6m,<-1%,21.54,3110
3-6m,-1% to 0%,-161.11,17573
3-6m,0% to 1%,-15.21,23332
3-6m,>1%,-52.98,2961
3-6m,All,-36.4,46976
6m-1yr,<-1%,44.37,3488
6m-1yr,-1% to 0%,-67.44,17342
6m-1yr,0% to 1%,38.06,24075
6m-1yr,>1%,4.57,2694
6m-1yr,All,20.64,47599
>1yr,<-1%,81.17,3954
>1yr,-1% to 0%,-11.59,19012
>1yr,0% to 1%,66.69,25866
>1yr,>1%,51.64,2921
>1yr,All,59.32,51753
All,<-1%,51.36,13890
All,-1% to 0%,-32.17,69938
All,0% to 1%,31.7,95597
All,>1%,25.79,11001
All,All,23.09,190426
