epoch,loss,val_loss
1,0.00751925425401746,0.00016340361238083764
2,0.0002972657842086594,6.959946686417122e-05
3,0.00011466475837013385,5.416683796018636e-05
4,7.434419242526663e-05,4.456039184219662e-05
5,0.0007550426770695681,4.272838033140639e-05
6,5.124991833453065e-05,4.686018728724169e-05
7,4.707005763169162e-05,5.1098484992924874e-05
8,4.3787014117591034e-05,7.093016592799965e-05
9,4.1051311372740224e-05,7.666952056695209e-05
10,4.016282855445752e-05,7.758074990723192e-05
11,3.591227314710476e-05,8.093754495538026e-05
12,5.05196427569315e-05,0.00010266818645732201
13,2.875468873129529e-05,7.907868677155723e-05
14,2.825586175708352e-05,7.937894973035024e-05
15,2.7514747943560064e-05,8.141340240778543e-05
16,2.714665815071458e-05,7.838940346024022e-05
17,2.6688421154959827e-05,8.743558135885603e-05
