epoch,loss,val_loss
1,0.002318764055941431,6.967045862893428e-05
2,0.00014839867031882367,3.511771005075085e-05
3,8.564210591855183e-05,3.0621627123158156e-05
4,0.0009076499953245902,3.100646164947799e-05
5,4.520375636023007e-05,3.8447143869764964e-05
6,4.167886966762743e-05,4.148965607934466e-05
7,3.5792482537750655e-05,4.654998656879646e-05
8,2.7013997115869497e-05,5.470967757995974e-05
9,2.47378635906294e-05,4.4864728963034395e-05
10,2.6580983232939402e-05,5.127881997661158e-05
11,2.7958884870348394e-05,5.20994691063e-05
12,2.6889747615798885e-05,5.0644296010204926e-05
13,2.0272327787176974e-05,5.052287479638077e-05
14,2.0183688287491942e-05,4.406934335084619e-05
15,1.970516392035664e-05,4.92425213186228e-05
