epoch,loss,val_loss
1,0.0021170773471188968,8.40077577398309e-05
2,0.00014288734799624,3.914042420660735e-05
3,8.730712683126161e-05,3.759915911890251e-05
4,0.0011548595799520985,3.6185333764630435e-05
5,3.920457232323939e-05,3.47822082555164e-05
6,2.967110677228401e-05,2.9328500299167597e-05
7,2.5479608434148348e-05,2.9403405889638634e-05
8,2.2377738657873338e-05,2.829067157013772e-05
9,2.0207003579171415e-05,2.7680346936638973e-05
10,1.907368597217001e-05,2.575652893218224e-05
11,1.8751941735674178e-05,2.605513701799585e-05
12,1.8628680743487386e-05,3.091180939425916e-05
13,2.1075488358245733e-05,2.7455707993340184e-05
14,2.8493747422079696e-05,2.6558665808806836e-05
15,3.052331873938126e-05,2.6073562096939895e-05
16,2.6419420989115983e-05,3.604252975719646e-05
17,1.4310384335160557e-05,2.650282751422613e-05
18,1.3672443982328452e-05,2.8214839791947572e-05
19,1.341829727899647e-05,2.8093387551090625e-05
20,1.297386815545959e-05,2.6218001702697318e-05
21,1.2709365092387022e-05,2.52649400493965e-05
22,1.3574028984639483e-05,2.7478948654883577e-05
23,1.2375160532846943e-05,2.4556483812906055e-05
24,1.5518453700061552e-05,2.4374151166739466e-05
25,1.172592041204194e-05,2.3770140700207776e-05
26,1.1437291875094439e-05,2.1634910164417914e-05
27,1.1561147864357982e-05,2.6527046183370356e-05
28,1.1110469026822554e-05,2.1641341514092954e-05
29,1.1430580931105762e-05,2.9786821320006613e-05
30,1.0146502065094698e-05,2.5722058836663564e-05
31,1.0897818176926838e-05,2.1513881155973042e-05
32,8.147668389221217e-06,2.400976752170436e-05
33,1.0392860526304092e-05,2.1377998322691383e-05
34,8.070407581069387e-06,2.082346282842688e-05
35,7.097129277311593e-06,3.747892343615907e-05
36,7.20430422590958e-06,2.6138365152898284e-05
37,7.6003047431923026e-06,2.0357111620702046e-05
38,6.035988608877179e-06,2.022764434173041e-05
39,6.591676184429042e-06,2.625178469391661e-05
40,6.615221501923617e-06,2.158708938300909e-05
41,5.710612236413848e-06,2.146828609284057e-05
42,5.963092400242516e-06,2.3619398466697323e-05
43,5.597303017407119e-06,1.789736468775042e-05
44,5.354361896237221e-06,1.8767177690411547e-05
45,5.20716624730888e-06,1.6602709176064916e-05
46,4.618108027400517e-06,1.7470010443313793e-05
47,3.960910671063228e-06,1.7078812412307798e-05
48,4.634093439051827e-06,1.689140275829004e-05
49,3.981530772284216e-06,1.6923585223575326e-05
50,3.9586441646257085e-06,2.1738412177304173e-05
51,3.7139203865399727e-06,1.587169029448887e-05
52,3.760559069878648e-06,1.5322654090728822e-05
53,3.871339429738958e-06,1.4630526801321745e-05
54,3.243560737564953e-06,1.532969385209526e-05
55,3.4838894190169327e-06,1.3227491918380943e-05
56,3.227955404662328e-06,1.3521431803553696e-05
57,3.971902849753614e-06,1.3224206966810925e-05
58,2.5920114068077408e-06,1.26078013072591e-05
59,2.7223530202160745e-06,1.3217911207637675e-05
60,2.618879747832626e-06,1.816364695628181e-05
61,2.563388216916473e-06,1.20005786664971e-05
62,2.1437062989944223e-06,1.1247574294751908e-05
63,3.14958751284002e-06,1.3392278044458786e-05
64,2.5978364892646818e-06,1.1135473063935327e-05
65,2.7063414161961336e-06,1.0883895936804796e-05
66,2.20103178116583e-06,1.0554349056945966e-05
67,2.1875128925911384e-06,1.0289758404743074e-05
68,2.20145076238862e-06,1.1594844313123076e-05
69,2.041774580298594e-06,1.3277808766550455e-05
70,2.1826700474005777e-06,1.0473429097620132e-05
71,2.0832644713996128e-06,1.0703966857761316e-05
72,2.6843062038714224e-06,1.1567848427300001e-05
73,1.7418069571587932e-06,1.043330696859357e-05
74,1.337562374111875e-06,1.053136325642375e-05
75,1.3117207779205075e-06,1.0508762805727656e-05
76,1.3356443356733374e-06,1.0653779613771045e-05
77,1.2985150036426742e-06,1.0697087025353843e-05
78,1.2589102793023885e-06,1.0272737149819022e-05
79,1.2769311571078007e-06,1.0802010677934959e-05
80,1.343574747335653e-06,1.125523127143424e-05
81,1.3434423446985426e-06,1.1792837213420171e-05
82,1.256427136786774e-06,1.025191807949947e-05
83,1.2141903829097515e-06,1.0227653997200529e-05
84,1.293031484576443e-06,1.0850451478935005e-05
85,1.1886399548914923e-06,1.0740196093668905e-05
86,1.2821689715332947e-06,1.0256294965908333e-05
87,1.199267302354201e-06,1.0733868947454539e-05
88,1.1426356787527447e-06,1.0493786372004857e-05
89,1.1907090563753143e-06,1.0465241430779315e-05
90,1.0482218532197427e-06,1.0273664045712394e-05
91,1.0483683380877737e-06,1.0610649627077843e-05
92,1.047915305375051e-06,1.0448776824508363e-05
93,1.0897492680307724e-06,1.0521326691067165e-05
94,1.0563762186167718e-06,1.0921514714823388e-05
95,1.061156698071075e-06,1.0434123012714736e-05
