T_bin,ret_bin,gain%,n
0-3m,<-1%,-2.63,2996
0-3m,-1% to 0%,-14.17,7426
0-3m,0% to 1%,7.69,11814
0-3m,>1%,40.29,1686
0-3m,All,3.97,23922
3-6m,<-1%,-21.89,2825
3-6m,-1% to 0%,-30.92,7722
3-6m,0% to 1%,9.12,11465
3-6m,>1%,38.94,2098
3-6m,All,-4.59,24110
6m-1yr,<-1%,-27.12,3260
6m-1yr,-1% to 0%,-52.7,8134
6m-1yr,0% to 1%,-1.47,13460
6m-1yr,>1%,5.76,1794
6m-1yr,All,-16.58,26648
>1yr,<-1%,13.17,3630
>1yr,-1% to 0%,-19.82,10356
>1yr,0% to 1%,8.7,15894
>1yr,>1%,7.93,2004
>1yr,All,6.06,31884
All,<-1%,-1.57,12711
All,-1% to 0%,-22.7,33638
All,0% to 1%,7.09,52633
All,>1%,23.38,7582
All,All,1.02,106564
