Rank,Features,D Gain%,D+iv_lag Gain%,Improvement,Improvement Pct%
1,3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+vega,-38.99,41.55,80.53999999999999,206.5657860989997
2,3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+rho,-38.82,40.8,79.62,205.10046367851623
3,3F+vix_lag+vix_mom_lag+vix_mom+gamma+theta+vega+rho,-12.27,12.31,24.58,200.32599837000814
4,3F+vix_lag+gamma+theta+vega,-15.26,14.45,29.71,194.69200524246398
5,3F+vix_mom_lag+vix_mom+gamma+theta,-14.17,13.03,27.2,191.954834156669
6,3F+vix_mom+gamma+theta+rho,-11.42,10.33,21.75,190.4553415061296
7,3F+vix_lag+vix_mom_lag+gamma+theta,-25.03,22.37,47.400000000000006,189.3727526967639
8,3F+vix_mom+gamma+theta+vega,-20.56,13.11,33.67,163.76459143968873
9,3F+vix_lag+vix_mom_lag+vix_mom+gamma+vega+rho,-51.68,31.24,82.92,160.44891640866874
10,3F+vix_mom+gamma+theta,-22.41,11.98,34.39,153.4582775546631
11,3F+vix_mom_lag+gamma+theta+vega,-21.83,11.19,33.019999999999996,151.25973431058176
12,3F+vix_mom+gamma+vega+rho,-17.77,8.56,26.33,148.1710748452448
13,3F+vix_lag+vix_mom_lag+vix_mom+theta,-24.11,11.11,35.22,146.0804645375363
14,3F+vix_lag+vix_mom_lag+vix_mom+theta+vega+rho,-67.5,30.68,98.18,145.45185185185184
15,3F+vix_mom_lag+vix_mom+theta+vega,-5.26,2.33,7.59,144.29657794676808
16,3F+vix_mom_lag+vix_mom+gamma+vega,-17.22,6.2,23.419999999999998,136.0046457607433
17,3F+vix_lag+gamma+theta+rho,-20.77,7.09,27.86,134.13577274915744
18,3F+vix_mom_lag+gamma+theta+rho,-23.98,7.18,31.16,129.94161801501252
19,3F+vix_lag+vix_mom_lag+gamma+theta+vega+rho,-75.73,21.3,97.03,128.126237950614
20,3F+vix_lag+vix_mom+gamma+theta,-11.94,3.34,15.28,127.97319932998326
21,3F+vix_mom+theta+vega,-32.48,7.79,40.269999999999996,123.98399014778325
22,3F+vix_mom+vega+rho,-43.19,9.64,52.83,122.3199814771938
23,3F+vix_lag+vix_mom_lag+vix_mom+gamma,-48.28,9.68,57.96,120.049710024855
24,3F+vix_lag+vix_mom+gamma+rho,-16.65,2.92,19.57,117.53753753753755
25,3F+vix_lag+vix_mom_lag+gamma+vega,-38.79,6.66,45.45,117.169373549884
26,3F+vix_lag+vix_mom_lag+vix_mom+vega,-27.88,4.41,32.29,115.81779053084648
27,3F+vix_lag+vix_mom+gamma+vega,-17.61,1.67,19.28,109.48324815445771
28,3F+vix_mom_lag+vix_mom+gamma+rho,-22.67,1.68,24.35,107.4106749007499
29,3F+gamma+theta+rho,-99.79,7.33,107.12,107.34542539332598
30,3F+vix_lag+vix_mom_lag+gamma+rho,-44.46,2.61,47.07,105.87044534412955
31,3F+vix_mom_lag+gamma+theta,-33.92,1.75,35.67,105.15919811320755
32,3F+vix_mom_lag+vix_mom+gamma+theta+vega+rho,-48.21,2.44,50.65,105.0611906243518
33,3F+vix_lag+vix_mom+theta+vega,-12.87,0.1,12.969999999999999,100.77700077700078
34,3F+vix_mom_lag+vega+rho,-76.56,-0.28,76.28,99.6342737722048
