,extra_features,avg_gain,avg_marginal_gain,avg_median_marginal,avg_std,n_features,gain_A,gain_B,gain_C
1,gamma+theta+vix_lag+vix_mom+vix_mom_lag,38.96333333333333,7.608239583333332,6.999,8.523964584148839,5,44.72,24.56,47.61
2,gamma+rho+vix_lag+vix_mom+vix_mom_lag,36.983333333333334,6.996177083333333,6.5009999999999994,8.48980777182527,5,45.57,25.48,39.9
3,gamma+rho+theta+vega+vix_lag+vix_mom+vix_mom_lag,36.92333333333333,6.305647321428571,5.819999999999999,8.471728262045577,7,45.47,22.64,42.66
4,theta+vega+vix_lag+vix_mom+vix_mom_lag,35.843333333333334,6.847947916666667,6.319,8.395272751647646,5,45.15,25.72,36.66
5,gamma+vega+vix_lag+vix_mom+vix_mom_lag,35.35,6.81478125,6.308,8.49336757350612,5,42.87,23.51,39.67
6,gamma+rho+theta+vix_lag+vix_mom+vix_mom_lag,33.38666666666666,6.923975694444444,6.391666666666666,8.492010145554914,6,44.03,14.78,41.35
7,rho+theta+vix_lag+vix_mom+vix_mom_lag,33.086666666666666,7.02934375,6.511999999999999,8.391712949966793,5,42.82,24.78,31.66
8,gamma+theta+vega+vix_mom+vix_mom_lag,32.86666666666667,6.465468749999999,5.957000000000001,8.506431479436845,5,40.01,21.72,36.87
9,gamma+theta+vix_mom+vix_mom_lag,32.196666666666665,7.432916666666666,6.84875,8.545530109048668,4,37.36,18.83,40.4
10,gamma+rho+theta+vix_lag+vix_mom,32.17,6.813052083333334,6.308000000000001,8.492630060141646,5,40.72,17.76,38.03
11,gamma+theta+vega+vix_lag+vix_mom,31.983333333333334,6.631656249999999,6.115,8.496189861822497,5,39.64,19.22,37.09
12,gamma+rho+theta+vix_lag+vix_mom_lag,31.843333333333334,6.450177083333332,5.880000000000001,8.551073829490951,5,40.46,17.12,37.95
13,rho+vega+vix_lag+vix_mom+vix_mom_lag,31.47666666666667,6.235885416666667,5.821,8.36111593932407,5,39.62,23.78,31.03
14,gamma+theta+vega+vix_lag+vix_mom+vix_mom_lag,30.94333333333333,6.7728125,6.230833333333333,8.494976646955626,6,36.98,12.34,43.51
15,gamma+rho+theta+vix_mom+vix_mom_lag,30.63333333333333,6.646864583333333,6.1499999999999995,8.50287167775599,5,40.73,17.98,33.19
16,gamma+theta+vix_lag+vix_mom,30.36,7.640651041666667,7.046249999999999,8.532728087030737,4,39.3,13.5,38.28
17,gamma+rho+vega+vix_lag+vix_mom,29.94,6.01959375,5.616999999999999,8.462033049498924,5,38.85,17.51,33.46
18,rho+theta+vix_lag+vix_mom,29.816666666666666,6.91703125,6.4375,8.367413544303178,4,38.06,19.58,31.81
