,model,feature,split,SSE,MSE,RMSE,MAE,MeanError,MedianAE,R2,Training_time,Gain_vs_Analytic
0,LSTM,6F,A,5.331666469573975,1.251403332803036e-05,0.0035375179615134,0.0019254903309047,-0.0009547293302603,0.0012267529964447,0.6905905141006059,482.6s,62.11%
1,LSTM,8F theta,A,7.320459842681885,1.718195970633342e-05,0.004145112749532,0.002317463280633,0.0010227623861283,0.0013344287872314,0.5751760299716672,195.9s,47.98%
2,LSTM,8F rho,A,5.672984600067139,1.331514616673232e-05,0.0036489924865272,0.0019611383322626,-0.0011005720589309,0.0010015070438385,0.6707829984042104,689.7s,59.69%
3,LSTM,6F,B,1.7922934293746948,1.2335462981600972e-05,0.0035121877770986,0.0022458953317254,-0.0011487152660265,0.0015716552734375,0.9196580623022452,360.7s,91.73%
4,LSTM,8F theta,B,1.9594671726226809,1.3486036591665844e-05,0.0036723339433752,0.0021585223730653,-0.0003956978034693,0.0013171695172786,0.9121642768290618,216.6s,90.96%
5,LSTM,8F rho,B,1.917358994483948,1.3196226974479324e-05,0.0036326611422591,0.0020113005302846,-0.0008088432950899,0.0010672882199287,0.9140518319409322,263.8s,91.16%
6,LSTM,6F,C,2.194854259490967,1.1526021969116438e-05,0.0033949995536253,0.0020284778438508,-0.0012406212044879,0.0013673305511474,0.6955491754360239,290.2s,69.73%
7,LSTM,8F theta,C,11.085472106933594,5.8214067968311015e-05,0.0076298144124422,0.0028951822314411,-0.0004604719288181,0.0012848749756813,-0.5376789183349331,136.1s,-52.88%
8,LSTM,8F rho,C,1.4705740213394165,7.722548503562626e-06,0.0027789473732984,0.0018760429229587,-0.0009385567973367,0.0013969093561172,0.7960149420203496,236.8s,79.72%
9,LSTM,6F,D,4.602336883544922,4.3188477192531455e-05,0.0065717940619386,0.0035706318449229,0.0009145213407464,0.0021968483924865,0.1474794786232586,54.6s,8.09%
10,LSTM,8F theta,D,2.104970216751098,1.975310814863461e-05,0.0044444468889429,0.0024769285228103,-0.0005298506002873,0.0014390125870704,0.6100828009606865,50.2s,57.96%
11,LSTM,8F rho,D,3.824899196624756,3.5892976958679816e-05,0.0059910747749197,0.0029125600121915,0.0007026822422631,0.001615822315216,0.2914892716831279,40.9s,23.61%
12,GRU,6F,A,4.134411811828613,9.703939190547262e-06,0.0031151146352176,0.0015042219310998,-0.000219351859414,0.0008140802383422,0.760070094313966,682.4s,70.62%
13,GRU,8F theta,A,6.348589897155762,1.4900869364649544e-05,0.0038601644219708,0.0020395535975694,0.0002259181055705,0.0011361092329025,0.631575990832373,411.9s,54.88%
14,GRU,8F rho,A,3.748080968856811,8.797176347787988e-06,0.0029660034301713,0.0014145639725029,-0.0005053601926192,0.0007669776678085,0.7824898064608393,1007.0s,73.36%
15,GRU,6F,B,1.2878506183624268,8.863634362697023e-06,0.0029771856446478,0.0016713426448404,-0.0004866376111749,0.0009430944919586,0.9422703824894412,435.0s,94.06%
16,GRU,8F theta,B,1.5497266054153442,1.0665996348250085e-05,0.0032658837009682,0.0017699281452223,-0.0004399966273922,0.0009738281369209,0.9305314429321588,412.3s,92.85%
17,GRU,8F rho,B,1.8481172323226929,1.271967041296865e-05,0.0035664646939187,0.0018936018459498,0.0001944322575582,0.0009675770998001,0.9171556860590512,404.1s,91.48%
18,GRU,6F,C,0.6790065765380859,3.5657240951240165e-06,0.0018883124993294,0.0011181947775185,-0.000232058664551,0.0007119923830032,0.9058141964472272,741.0s,90.64%
19,GRU,8F theta,C,6.482757091522217,3.404344517829612e-05,0.0058346760988332,0.0025277754757553,-0.0001356997381662,0.0013523697853088,0.1007691132897176,200.6s,10.59%
20,GRU,8F rho,C,1.2073403596878052,6.340207533045935e-06,0.0025179768730164,0.0015152514679357,0.0002621185558382,0.0009574517607688,0.8325283938799798,532.7s,83.35%
21,GRU,6F,D,5.026837348937988,4.717200319937304e-05,0.0068681877667528,0.0037758380640298,0.0003842205042019,0.0023137032985687,0.0688465216627463,63.7s,-0.39%
22,GRU,8F theta,D,1.4641908407211304,1.3740013895134664e-05,0.0037067524728709,0.0021710712462663,0.0002872963959816,0.0013636723160743,0.7287784943797577,486.0s,70.76%
